stamp_sec,stamp_nanosec,elapsed_time_sec,x,y,theta_rad,theta_deg,cov_xx,cov_xy,cov_yy,cov_yawyaw
1776219218,812992554,7.638938,-0.209811,2.722822,0.565637,32.408609,0.21863805,0.00787082,0.22223728,0.05633052
1776219224,511870139,13.338918,-0.220133,2.722017,0.788395,45.171724,0.21888355,-0.00131574,0.20063661,0.06724560
1776219230,591604730,19.397582,-0.285786,2.744698,0.586337,33.594635,0.21098909,-0.00326392,0.20554902,0.06085259
1776219236,794165719,25.761267,-0.218701,2.700113,0.572453,32.799136,0.22465041,0.00737817,0.21602247,0.06658900
1776219244,261649497,33.086676,-0.309889,2.753599,0.592018,33.920147,0.21418062,0.00892286,0.20895102,0.06318718
1776219251,349703570,40.133026,-0.237621,2.722439,0.632933,36.264395,0.21549056,-0.00562080,0.21550710,0.06150996
1776219257,550958274,46.330056,-0.277465,2.675744,0.571921,32.768667,0.21589580,0.00097345,0.21462137,0.06044932
1776219264,514782538,53.404995,-0.310158,2.671313,0.504893,28.928218,0.21789414,-0.00728931,0.22421816,0.06213985
1776219271,859720657,60.687121,-0.294230,2.649054,0.570090,32.663745,0.22136476,0.00070344,0.20564949,0.06589890
1776219280,346709631,69.171084,-0.253769,2.680314,0.519689,29.776015,0.21225806,0.00736378,0.19604491,0.06242706
1776219289,460153611,78.283668,-0.259500,2.638407,0.608097,34.841415,0.23256010,0.00615417,0.20401332,0.06523085
