stamp_sec,stamp_nanosec,elapsed_time_sec,x,y,theta_rad,theta_deg,cov_xx,cov_xy,cov_yy,cov_yawyaw
1776218538,268545694,22.198874,3.492716,4.364934,0.498855,28.582290,0.03464783,0.00430755,0.01936821,0.04595022
1776218539,398274727,23.323150,3.728004,4.514410,0.597986,34.262098,0.04218895,0.01111259,0.02702576,0.05479557
1776218540,540749037,24.352263,3.954629,4.673869,0.556580,31.889681,0.04975289,0.01519675,0.03465966,0.06637529
1776218541,685288254,25.503107,4.186289,4.808273,0.527755,30.238118,0.06192792,0.01163273,0.05215397,0.09148294
1776218542,812782880,26.703311,4.409316,4.930158,0.525548,30.111700,0.06340253,0.00434031,0.06646048,0.10750072
1776218543,955008915,27.814523,4.647044,5.069123,0.543354,31.131867,0.07585437,-0.00745315,0.08792499,0.10776006
1776218545,85759790,28.954556,4.897069,5.228641,0.584612,33.495812,0.07860651,-0.00976931,0.10531760,0.10550413
1776218546,352656527,30.204469,5.157482,5.430780,0.619204,35.477749,0.09585755,-0.01923135,0.12536700,0.11998592
1776218547,615272134,31.462102,5.430578,5.615853,0.624217,35.764994,0.10809784,-0.04245700,0.15805544,0.13735867
1776218548,880466756,32.742819,5.716852,5.806174,0.507440,29.074161,0.12420940,-0.06924214,0.18075844,0.14365703
1776218550,145356196,33.955202,5.998886,5.993004,0.576608,33.037212,0.13539759,-0.09449294,0.21730507,0.14697368
